sentence,sentiment,cleaned_sentence,positive_score,negative_score,neutral_score,tiempo_fuzzification,sentimiento_defuzzificado,tiempo_defuzzificacion,tiempo_total
i loooooooovvvvvveee my kindle not that the dx is cool but the is fantastic in its own right,Positive,i loooooooovvvvvveee my kindle not that the dx is cool but the is fantastic in its own right,0.382,0.0,0.618,0.022599997464567423,Positive,0.10650000331224874,0.12910000077681616
reading my kindle love it lee childs is good read,Positive,reading my kindle love it lee childs is good read,0.47,0.0,0.53,0.011600001016631722,Positive,0.07729999924777076,0.08890000026440248
ok first assesment of the kindle it fucking rocks,Positive,ok first assesment of the kindle it fucking rocks,0.216,0.0,0.784,0.009699993825051934,Neutral,0.08610000077169389,0.09579999459674582
you ll love your kindle i ve had mine for a few months and never looked back the new big one is huge no need for remorse,Positive,you ll love your kindle i ve had mine for a few months and never looked back the new big one is huge no need for remorse,0.204,0.135,0.66,0.01080000220099464,Neutral,0.07069999992381781,0.08150000212481245
fair enough but i have the kindle and i think it s perfect,Positive,fair enough but i have the kindle and i think it s perfect,0.456,0.0,0.544,0.009800001862458885,Positive,0.06479999865405262,0.0746000005165115
no it is too big i m quite happy with the kindle,Positive,no it is too big i m quite happy with the kindle,0.281,0.155,0.564,0.00979999458650127,Neutral,0.07199999527074397,0.08179998985724524
fuck this economy i hate aig and their non loan given asses,Negative,fuck this economy i hate aig and their non loan given asses,0.0,0.444,0.556,0.009399998816661537,Negative,0.06779999966965988,0.07719999848632142
jquery is my new best friend,Positive,jquery is my new best friend,0.649,0.0,0.351,0.009499999578110874,Positive,0.0625000029685907,0.07200000254670158
loves twitter,Positive,loves twitter,0.787,0.0,0.213,0.017799997294787318,Positive,0.12329999299254268,0.14109999028733
how can you not love obama he makes jokes about himself,Positive,how can you not love obama he makes jokes about himself,0.139,0.234,0.626,0.010199997632298619,Neutral,0.2108000044245273,0.2210000020568259
i firmly believe that obama pelosi have zero desire to be civil it s a charade and a slogan but they want to destroy conservatism,Negative,i firmly believe that obama pelosi have zero desire to be civil it s a charade and a slogan but they want to destroy conservatism,0.127,0.182,0.691,0.009800001862458885,Neutral,0.2516999957151711,0.26149999757763
house correspondents dinner was last night whoopi barbara amp sherri went obama got a standing ovation,Positive,house correspondents dinner was last night whoopi barbara amp sherri went obama got a standing ovation,0.0,0.0,1.0,0.008899995009414852,Neutral,0.490999998874031,0.49989999388344586
watchin espn jus seen this new nike commerical with a puppet lebron sh t was hilarious lmao,Positive,watchin espn jus seen this new nike commerical with a puppet lebron sh t was hilarious lmao,0.337,0.0,0.663,0.009200004569720477,Positive,0.18309999722987413,0.1923000017995946
dear nike stop with the flywire that shit is a waste of science and ugly love,Negative,dear nike stop with the flywire that shit is a waste of science and ugly love,0.245,0.43,0.325,0.009999996109399945,Neutral,0.12550000246847048,0.13549999857787043
lebron best athlete of our generation if not all time basketball related i don t want to get into inter sport debates about __,Positive,lebron best athlete of our generation if not all time basketball related i don t want to get into inter sport debates about,0.224,0.0,0.776,0.0092999980552122,Neutral,0.11180000001331791,0.12109999806853011
i was talking to this guy last night and he was telling me that he is a die hard spurs fan he also told me that he hates lebron james,Negative,i was talking to this guy last night and he was telling me that he is a die hard spurs fan he also told me that he hates lebron james,0.067,0.238,0.696,0.009800001862458885,Neutral,0.13980000221636146,0.14960000407882035
i love lebron,Positive,i love lebron,0.808,0.0,0.192,0.009499999578110874,Positive,0.11870000162161887,0.12820000119972974
lebron is a beast but i m still cheering the a til the end,Negative,lebron is a beast but i m still cheering the a til the end,0.331,0.0,0.669,0.0092999980552122,Positive,0.1875000016298145,0.1967999996850267
lebron is the boss,Positive,lebron is the boss,0.0,0.0,1.0,0.008700000762473792,Neutral,0.23460000375052914,0.24330000451300293
lebron is a hometown hero to me lol i love the lakers but let s go cavs lol,Positive,lebron is a hometown hero to me lol i love the lakers but let s go cavs lol,0.488,0.0,0.512,0.009399998816661537,Positive,0.148899998748675,0.15829999756533653
lebron and zydrunas are such an awesome duo,Positive,lebron and zydrunas are such an awesome duo,0.369,0.0,0.631,0.009000003046821803,Positive,0.19040000188397244,0.19940000493079424
lebron is a beast nobody in the nba comes even close,Positive,lebron is a beast nobody in the nba comes even close,0.0,0.0,1.0,0.00809999619377777,Neutral,0.240100001974497,0.24819999816827476
downloading apps for my iphone so much fun there literally is an app for just about anything,Positive,downloading apps for my iphone so much fun there literally is an app for just about anything,0.183,0.0,0.817,0.008800001523923129,Neutral,0.09580000187270343,0.10460000339662656
good news just had a call from the visa office saying everything is fine what a relief i am sick of scams out there stealing,Positive,good news just had a call from the visa office saying everything is fine what a relief i am sick of scams out there stealing,0.225,0.312,0.462,0.009700001101009548,Neutral,0.08119999984046444,0.09090000094147399
awesome come back from via,Positive,awesome come back from via,0.506,0.0,0.494,0.009099996532313526,Positive,0.06909999501658604,0.07819999154889956
in montreal for a long weekend of r amp r much needed,Positive,in montreal for a long weekend of r amp r much needed,0.0,0.0,1.0,0.008100003469735384,Neutral,0.1066999975591898,0.11480000102892518
booz allen hamilton has a bad ass homegrown social collaboration platform way cool ttiv,Positive,booz allen hamilton has a bad ass homegrown social collaboration platform way cool ttiv,0.422,0.0,0.578,0.009200004569720477,Positive,0.0714999987394549,0.08070000330917537
mluc customer innovation award winner booz allen hamilton,Positive,mluc customer innovation award winner booz allen hamilton,0.664,0.0,0.336,0.009099996532313526,Positive,0.06769999890821055,0.07679999544052407
i current use the nikon d and love it but not as much as the canon d d i chose the d for the video feature my mistake,Positive,i current use the nikon d and love it but not as much as the canon d d i chose the d for the video feature my mistake,0.101,0.121,0.778,0.009499999578110874,Neutral,0.13730000500800088,0.14680000458611175
google is always a good place to look should ve mentioned i worked on the mustang w my dad,Positive,google is always a good place to look should ve mentioned i worked on the mustang w my dad,0.162,0.0,0.838,0.008999995770864189,Neutral,0.08689999958733097,0.09589999535819516
played with an android google phone the slide out screen scares me i would break that fucker so fast still prefer my iphone,Negative,played with an android google phone the slide out screen scares me i would break that fucker so fast still prefer my iphone,0.085,0.238,0.676,0.009800001862458885,Neutral,0.07919999916339293,0.08900000102585182
us planning to resume the military tribunals at guantanamo bay only this time those on trial will be aig execs and chrysler debt holders,Negative,us planning to resume the military tribunals at guantanamo bay only this time those on trial will be aig execs and chrysler debt holders,0.0,0.098,0.902,0.009399998816661537,Neutral,0.11950000043725595,0.12889999925391749
omg so bored amp my tattoooos are so itchy help aha,Negative,omg so bored amp my tattoooos are so itchy help aha,0.185,0.319,0.497,0.009800001862458885,Neutral,0.17550000484334305,0.18530000670580193
i m itchy and miserable,Negative,i m itchy and miserable,0.0,0.841,0.159,0.0092999980552122,Negative,0.2378999997745268,0.247199997829739
